,Objects,FETARanker,FATERanker
0,3,0.1949512064,0.0652848184
1,4,0.2284020334,0.12077937279999999
2,5,0.2241305709,0.1038039848
3,6,0.2279135138,0.10933709890000001
4,7,0.2289696932,0.1106991246
5,8,0.2304981053,0.11216563730000001
6,9,0.2305198312,0.1135326102
7,10,0.230696559,0.11544632169999999
8,11,0.23029571769999999,0.11639980230000001
9,12,0.2302988023,0.11644519869999999
10,13,0.2296092361,0.1173365936
11,14,0.229495272,0.117598176
12,15,0.2279229164,0.1176226065
13,16,0.22755597530000002,0.1178899184
14,17,0.2269429266,0.1180509478
15,18,0.22625067829999998,0.1175213084
16,19,0.225329712,0.1181196868
