,LayersBestParams,8LayersBestParams2
n_test_objects 3,0.1985868364572525,0.0
n_test_objects 4,0.22647470235824585,0.0
n_test_objects 5,0.21806980669498446,0.0
n_test_objects 6,0.21554450690746307,0.0
n_test_objects 7,0.21158699691295624,0.0
n_test_objects 8,0.20772147178649905,0.0
n_test_objects 9,0.20365554094314572,0.0
n_test_objects 10,0.2001185417175293,0.0
n_test_objects 11,0.19647946953773496,0.0
n_test_objects 12,0.19302698969841006,0.0
n_test_objects 13,0.18988293409347531,0.0
n_test_objects 14,0.18618398904800412,0.0
n_test_objects 15,0.18283981084823608,0.0
n_test_objects 16,0.17992298305034635,0.0
n_test_objects 17,0.1777946501970291,0.0
n_test_objects 18,0.17480814456939694,0.0
n_test_objects 19,0.17310652136802673,0.0
n_test_objects 20,0.1699676513671875,0.0
n_test_objects 21,0.16763363778591156,0.0
n_test_objects 22,0.1656314879655838,0.0
n_test_objects 23,0.1633966565132141,0.0
n_test_objects 24,0.16158077120780945,0.0
